festival_list_link,festival_list_link-href,event_name,event_dates,event_cost,event_description,event_date_time,event_location_name,event_location_address,event_venue_html
"Marietta StreetFest","https://atlantaplanit.wabe.org/events/marietta-streetfest/","Marietta StreetFest","Sep 16 – Sep 17","Free","In its 26th year, the Marietta StreetFest provides families, friends and individuals opportunities to enjoy arts and crafts, vintage vehicles, local musicians, children’s offerings and delightful fall weather in Historic Marietta Square. The Marietta StreetFest raises funds for the Marietta Museum of History, and attendees receive free admission to the museum during the weekend. The festival features a Kids Zone with make and take projects and interactive stations. Adults can also check out the Hubcaps and History Classic Car Show as well as the Military, Motorcycles and More Cruise-In.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 16</td><td>9am – 9pm</td></tr><tr><td>Sun, Sep 17</td><td>11pm – 5pm</td></tr></tbody></table></dd>","Marietta Square","4 Depot St.
MARIETTA, GA 30060","<h3>Location</h3>
				<header class=""entry-header"">
					Marietta Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>4 Depot St.<br>MARIETTA, GA 30060</span></dd></dl>				<dl class=""pi-field wwwmariettasquarecom"" title=""www.mariettasquare.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.mariettasquare.com/"">www.mariettasquare.com/</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-429-1115"">770-429-1115</a></span></dd></dl>"
"Decatur Arts Festival","https://atlantaplanit.wabe.org/events/decatur-arts-festival/","Decatur Arts Festival","May 27 – May 28","Free!","Downtown Decatur comes alive on Memorial Day weekend for the annual Decatur Arts Festival. The festival takes over downtown, extending from the Decatur Recreation Center to the downtown square, including East and West Ponce de Leon Avenue, Clairemont Avenue and the Dalton Gallery at Agnes Scott College. This year’s festival features an artist market, live musical performances, improvisational and stand-up comedy, a children’s festival, literary events, dance performances and more.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27</td><td>11am – 6pm</td></tr><tr><td>Sun, May 28</td><td>11am – 5pm</td></tr></tbody></table></dd>","Decatur Square","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030","<h3>Location</h3>
				<header class=""entry-header"">
					Decatur Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>W. Ponce de Leon Ave. and Church St.<br>DECATUR, GA 30030</span></dd></dl>				<dl class=""pi-field wwwdecaturgacom"" title=""www.decaturga.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.decaturga.com"">www.decaturga.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@decaturga.com"">info@decaturga.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-370-4100"">404-370-4100</a></span></dd></dl>"
"Alpharetta Arts Streetfest","https://atlantaplanit.wabe.org/events/alpharetta-arts-streetfest/","Alpharetta Arts Streetfest","May 27 – May 29","Free","The City of Alpharetta and Splash Festivals are excited to present the 13th Annual Alpharetta Arts Streetfest on Memorial Day weekend. This three-day event will host more than 90 colorful artisans from around the country who will showcase their works in the Alpharetta Historic District.  This much anticipated festival will feature live music, cultural arts performances, entertaining children’s activities, and a variety festival cuisine.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27<br>Sun, May 28<br>Mon, May 29</td><td>10am – 5pm</td></tr></tbody></table></dd>","Historic Downtown Alpharetta","20 North Main St.
ALPHARETTA, GA 30009","<h3>Location</h3>
				<header class=""entry-header"">
					Historic Downtown Alpharetta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>20 North Main St.<br>ALPHARETTA, GA 30009</span></dd></dl>				<dl class=""pi-field wwwawesomealpharettacom"" title=""www.awesomealpharetta.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.awesomealpharetta.com"">www.awesomealpharetta.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:debbie@awesomealpharetta.com"">debbie@awesomealpharetta.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:678-297-0102"">678-297-0102</a></span></dd></dl>"
"Atlanta Improv Festival","https://atlantaplanit.wabe.org/events/atlanta-improv-festival/","Atlanta Improv Festival","May 11 – May 13","null","The Village Theatre is playing host to the Atlanta Improv Festival that brings Atlanta improvisers together, celebrating the growth of improv in our fine city. The Atlanta Improv Festival also opens its doors to performers from all over the country, making it a weekend full of laughing and learning from each other.","null","Village Theatre","349 Decatur St. SE
ATLANTA, GA 30312","<h3>Location</h3>
				<header class=""entry-header"">
					Village Theatre				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>349 Decatur St. SE<br>ATLANTA, GA 30312</span></dd></dl>				<dl class=""pi-field villagecomedycom"" title=""villagecomedy.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://villagecomedy.com"">villagecomedy.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:villagecomedy@gmail.com"">villagecomedy@gmail.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-688-8858"">404-688-8858</a></span></dd></dl>"
"Alpharetta Brew Moon Countryfest","https://atlantaplanit.wabe.org/events/alpharetta-brew-moon-countryfest/","Alpharetta Brew Moon Countryfest","Jun 3","null","Gather your friends and celebrate summer with beer, wine and delicious food from some of Alpharetta’s best restaurants.





This event takes place at:


Milton Avenue


Alpharetta, GA 30009","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 3</td><td>6:30pm – 11pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Red White & Brew","https://atlantaplanit.wabe.org/events/red-white-brew/","Red White & Brew","Jul 1","Single ticket prices TBA","Before July 4th, celebrate with the Georgia Aquarium at their summer beer fest. Tickets include unlimited beer, food, live music and over 500 aquatic species! Red White & Brew will be held in our magnificent Oceans Ballroom, with views of the beluga whales, manta rays and whale sharks. After dinner and drinks, head in to the Aquarium and see the incredible animals, including our newest addition California sea lions!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jul 1</td><td>7pm – 11pm</td></tr></tbody></table></dd>","Georgia Aquarium","225 Baker St.
ATLANTA, GA 30313","<h3>Location</h3>
				<header class=""entry-header"">
					Georgia Aquarium				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>225 Baker St.<br>ATLANTA, GA 30313</span></dd></dl>				<dl class=""pi-field wwwgeorgiaaquariumorg"" title=""www.georgiaaquarium.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.georgiaaquarium.org"">www.georgiaaquarium.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:visitorservices@georgiaaquarium.org"">visitorservices@georgiaaquarium.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-581-4000"">404-581-4000</a></span></dd></dl>"
"Virginia-Highland Summerfest","https://atlantaplanit.wabe.org/events/virginia-highland-summerfest/","Virginia-Highland Summerfest","Jun 3 – Jun 4","Free!","The Virginia-Highland Civic Association presents the 34th annual Virginia-Highland Summerfest. With more than 250 artists from all around the Southeast, Summerfest offers a wide variety of work selected by a jury of art professors, curators and gallery owners. For 2017, Summerfest will expand the popular Local Market, which launched last year. Highlighting vendors from the area who produce hand-made products like soaps, honey and baked goods, the Local Market was a hit with attendees looking for unique items.





There is also a 5K on Saturday, live music throughout the weekend, kids activities, and food from an array of festival vendors and local restaurants.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 3</td><td>10am – 11pm</td></tr><tr><td>Sun, Jun 4</td><td>10am – 6pm</td></tr></tbody></table></dd>","Historic Virginia-Highland","1000 Virginia Ave. NE
ATLANTA, GA 30306","<h3>Location</h3>
				<header class=""entry-header"">
					Historic Virginia-Highland				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1000 Virginia Ave. NE<br>ATLANTA, GA 30306</span></dd></dl>				<dl class=""pi-field vahiorg"" title=""vahi.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://vahi.org"">vahi.org</a></span></dd></dl>"
"Atlanta Summer Beer Fest","https://atlantaplanit.wabe.org/events/atlanta-summer-beer-fest/","Atlanta Summer Beer Fest","Jun 17","null","Atlanta Summer Beer Fest returns to Historic 4th Ward Park with over 200 beers, featuring the local Atlanta Breweries, and great breweries from all over the country and live music!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 17</td><td>4pm – 9pm</td></tr></tbody></table></dd>","Historic Fourth Ward Park","680 Dallas St NE
ATLANTA, GA 30308","<h3>Location</h3>
				<header class=""entry-header"">
					Historic Fourth Ward Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>680 Dallas St NE<br>ATLANTA, GA 30308</span></dd></dl>												<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-590-7275"">404-590-7275</a></span></dd></dl>"
"Atlanta Warbird Weekend","https://atlantaplanit.wabe.org/events/atlanta-warbird-weekend-2/","Atlanta Warbird Weekend","Oct 7 – Oct 8","null","The Atlanta Warbird Weekend (AWW) is an annual event dedicated to the remembrance and celebration of the men, women and machines of The Greatest Generation. In metro Atlanta, there are significant historical resources and AWW is the catalyst to bring together the organizations, aircraft and people that keep this history alive and engage families and businesses that want to keep this spirit alive.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9pm – 4pm</td></tr></tbody></table></dd>","DeKalb-Peachtree Airport","2000 Airport Rd.
ATLANTA, GA 30341","<h3>Location</h3>
				<header class=""entry-header"">
					DeKalb-Peachtree Airport				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>2000 Airport Rd.<br>ATLANTA, GA 30341</span></dd></dl>"
"Fire in the Fourth Festival","https://atlantaplanit.wabe.org/events/fire-in-the-fourth-festival/","Fire in the Fourth Festival","May 20","Free!","Hailing the historic Great Atlanta Fire of 1917, which burned over 50 city blocks in the Old Fourth Ward, this year's fête celebrates with a never-before-seen interactive installation of the 100-year history of Boulevard. Festival attendees can interact with historical images and stories from just before the Great Atlanta Fire in 1917 all the way to 2017, featuring WellStar Atlanta Medical Center, Wingate Companies and the Martin Luther King Jr. Center for Nonviolent Social Change. There is a blazing main stage featuring music performances, fiery theatre performances, and a diverse offering of live, local musicians, dancers, visuals artists, circus performers and more providing entertainment throughout the festival. Fire in the Fourth raises positive awareness of the history and businesses of the Old Fourth Ward. All proceeds from Fire in the Fourth benefit the Old Fourth Ward Business Association’s beautification and public safety initiatives. 





This event takes place at:


Edgewood and Auburn Avenues, between Boulevard and Jackson


Atlanta, GA 30308","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 20</td><td>3pm – 11pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Peachtree Road Race","https://atlantaplanit.wabe.org/events/peachtree-road-race/","Peachtree Road Race","Jul 4","null","The Peachtree Road Race, on its 48th year in 2017, is the largest 10K race in the world, according to the event website. Runners ages 10 and up will take to the streets on July 4 to cash in that time they spent the previous year grabbing a qualifying time at other Atlanta races. The race, which travels through Buckhead, Midtown and Piedmont Park, is dotted with water stops. When runners finish the race, they’ll receive their Peachtree Road Race tee shirt and get to check out food, drinks and tunes before heading over to the awards ceremony.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Tue, Jul 4</td><td>8:30am – 1pm</td></tr></tbody></table></dd>","Various locations","ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Various locations				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA 30303</span></dd></dl>"
"German Bierfest Atlanta","https://atlantaplanit.wabe.org/events/german-bierfest-atlanta/","German Bierfest Atlanta","Aug 26","Single ticket prices TBA","Atlanta’s German Bierfest was born out of the simple idea: have a day dedicated to enjoy German beer, food and music. With the idea to bring a taste of German culture to Atlanta, the festival has grown and gained popularity over the years. Festival patrons receive a commemorative sample glass to enjoy unlimited samples of more than 35 authentic German beers. Atlanta area German restaurants and food vendors will be on site selling authentic German cuisine such as bratswurst, kasepatzle, pretzels, saurkraut, schnitzel and more!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 26</td><td>2pm – 7pm</td></tr></tbody></table></dd>","Woodruff Park","Auburn Ave. NE and Peachtree St. NE
ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Woodruff Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>Auburn Ave. NE and Peachtree St. NE<br>ATLANTA, GA 30303</span></dd></dl>				<dl class=""pi-field wwwwoodruffparkcom"" title=""www.woodruffpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.woodruffpark.com"">www.woodruffpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:cooper@centralatlantaprogress.org"">cooper@centralatlantaprogress.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-215-9600"">404-215-9600</a></span></dd></dl>"
"Brew At The Zoo","https://atlantaplanit.wabe.org/events/brew-at-the-zoo/","Brew At The Zoo","May 27","null","Brew at the Zoo is back with unlimited sampling of over 70 beers and wines, live music on five stages, and more in the home of over 1,000 animals from around the world. 


*21 and over event","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 27</td><td>4:30pm – 10pm</td></tr></tbody></table></dd>","Zoo Atlanta","800 Cherokee Ave. SE
ATLANTA, GA 30315","<h3>Location</h3>
				<header class=""entry-header"">
					Zoo Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>800 Cherokee Ave. SE<br>ATLANTA, GA 30315</span></dd></dl>				<dl class=""pi-field wwwzooatlantaorg"" title=""www.zooatlanta.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.zooatlanta.org"">www.zooatlanta.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:labrown@zooatlanta.org"">labrown@zooatlanta.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-624-9453"">404-624-9453</a></span></dd></dl>"
"Cabbagetown Chomp And Stomp Festival","https://atlantaplanit.wabe.org/events/chomp-and-stomp-festival/","Cabbagetown Chomp And Stomp Festival","Nov 4","General Admission","Official November date and time to be announced. 





The annual Cabbagetown Chomp and Stomp Festival is a chili-tasting competition featuring individual and restaurant applicants. The day begins with a race and continues with live music, contests and, of course, chili tastings. No dogs are allowed. Admission is free but the chili tasting is $5.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Nov 4</td><td>11am – 6pm</td></tr></tbody></table></dd>","Cabbagetown Park","701 Kirkwood Ave. SE
ATLANTA, GA 30316","<h3>Location</h3>
				<header class=""entry-header"">
					Cabbagetown Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>701 Kirkwood Ave. SE<br>ATLANTA, GA 30316</span></dd></dl>"
"Atlanta Food And Wine Festival","https://atlantaplanit.wabe.org/events/atlanta-food-and-wine-festival/","Atlanta Food And Wine Festival","Jun 1 – Jun 4","null","The Atlanta Food and Wine Festival was created in 2010 to shine an international spotlight on the rich food and beverage traditions of the Southern U.S. from Texas to D.C. Award-winning chefs, sommeliers, beverage innovators, up-and-coming food lovers gather together for more than 200 ways to sip, savor and sample the South. Tasting Tents are located in Piedmont Park, but the festival classes and other events will take place at nearby Midtown hotels.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>8pm – 10pm</td></tr></tbody></table></dd>","Various locations","ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Various locations				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA 30303</span></dd></dl>"
"Atlanta BeltLine Lantern Parade","https://atlantaplanit.wabe.org/events/art-on-the-atlanta-beltline-lantern-parade/","Atlanta BeltLine Lantern Parade","Sep 9","null","Created and hosted by Chantelle Rytter and the Krewe of the Grateful Gluttons, the Lantern Parade marks the beginning of the annual Art on the Atlanta BeltLine exhibition, the largest temporary art exhibition in the South. The parade will walk the Atlanta BeltLine Eastside Trail at Irwin Street.





This event takes place at:


Atlanta BeltLine Eastside Trail


at Irwin Street


660 Irwin St. NE


Atlanta, GA, 30312","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 9</td><td>7:30pm – 11pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Woofstock","https://atlantaplanit.wabe.org/events/woofstock/","Woofstock","May 6 – Oct 1","null","Woofstock is one of the largest pet adoption events in the southeast (with over 2,500 people) and it features a variety of activities for the whole family (including all family pets) to enjoy! The entertainment includes: live music, dog contests, a kid’s area including inflatables, pet adoptions, pet vendors, arts and crafts, delicious food trucks and ice cold beverages.





Event Locations:


Saturday, 5/6 and Sunday, 5/7 at Suwanee Town Center


330 Town Center Ave


Suwanee, GA 30024





Saturday, 9/30 and Sunday, 10/1 at Smyrna Market Village


1265 W Spring St


Smyrna, GA 30080","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, May 6<br>Sat, Sep 30</td><td>12pm – 7pm</td></tr><tr><td>Sun, May 7<br>Sun, Oct 1</td><td>12pm – 6pm</td></tr></tbody></table></dd>","Various locations","ATLANTA, GA 30303","<h3>Location</h3>
				<header class=""entry-header"">
					Various locations				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA 30303</span></dd></dl>"
"Dragon Con","https://atlantaplanit.wabe.org/events/dragon-con/","Dragon Con","Sep 1 – Sep 4","Prices vary by event","Dragon Con was founded on the idea that a convention did not have to be constrained to a single fandom or identity, mashing the various interests and hobbies of its founders into one massive convention where anyone was welcome. Nowadays, Dragon Con is a massive convention inhabiting multiple venues and spanning nearly every interest imaginable.





Dragon Con features a massive artist market, a walk of fame, contests, workshops and more. Gamers can compete or watch others play the latest and greatest in the world of video gaming, and cosplayers can compete in contests and take pictures with fans who may happen to recognize their characters.





This event takes place at:


Hyatt Regency Atlanta


265 Peachtree St. NE


Atlanta, GA 30303","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Sandy Springs Stars and Stripes Celebration","https://atlantaplanit.wabe.org/events/sandy-springs-stars-and-stripes-celebration/","Sandy Springs Stars and Stripes Celebration","Jul 2","Free!","The Sandy Springs community is invited to gather at the Concourse Corporate Center lawn to celebrate the nation’s birthday as part of the City’s Stars and Stripes Celebration. Music from the band Shiloh will begin at 7:30 p.m.  Fireworks take off beginning at 9:45 p.m. Residents are encouraged to pack a picnic, bring a blanket and enjoy an evening under the stars.





This event takes place at:


Concourse Corporate Center


5 Concourse Parkway NE


Atlanta, GA 30328","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Jul 2</td><td>7:30pm – 10:30pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Norcross July 4th Celebration – Red, White & Boom!","https://atlantaplanit.wabe.org/events/norcross-july-4th-celebration-red-white-boom/","Norcross July 4th Celebration – Red, White & Boom!","Jul 3","Free!","Celebrate the birth of America (a day early!) with the city of Norcross at the annual Red, White & Boom! There will be food trucks, art vendors, music, shops, restaurants and more, as well as a firework display to end the evening.





This event takes place in Historic Downtown Norcross.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Mon, Jul 3</td><td>5pm – 11pm</td></tr></tbody></table></dd>","Norcross Cultural Arts and Community Center","10 College St.
NORCROSS, GA 30071","<h3>Location</h3>
				<header class=""entry-header"">
					Norcross Cultural Arts and Community Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>10 College St.<br>NORCROSS, GA 30071</span></dd></dl>				<dl class=""pi-field wwwnorcrossganetindexaspxnid151"" title=""www.norcrossga.net/index.aspx?nid=151""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.norcrossga.net/index.aspx?nid=151"">www.norcrossga.net/index.aspx?nid=151</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:lsmith@norcrossga.net"">lsmith@norcrossga.net</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:678-421-2025"">678-421-2025</a></span></dd></dl>"
