alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"H","https://atlantaplanit.wabe.org/venues/H/","Highwire Comedy Co","https://atlantaplanit.wabe.org/venues/highwire-comedy-co/","Highwire Comedy Co","800-522-1498","3041 N Decatur Rd
SCOTTDALE, GA 30079","Highwire Comedy Co. is the Atlanta-area's newest source for improv, sketch, and stand-up comedy shows and training. Our 11,000 square foot facility houses both a 75-seat theater and training center with 6 classrooms. Our veteran faculty has over 50 years of combined experience and have worked, trained or performed at such notable comedy theaters as iO West, The Second City Training Center, The Magnet Theater, and UCB.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Lot parking available","info@highwirecomedy.com","3041 N Decatur Rd
SCOTTDALE, GA 30079","https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Highwire_Comedy_Logo.jpg"
"O","https://atlantaplanit.wabe.org/venues/O/","Out of Box Theatre","https://atlantaplanit.wabe.org/venues/out-of-box-theatre/","Out of Box Theatre","678-653-4605","585 Cobb Pkwy.
Suite C-1
MARIETTA, GA 30060","Located only five minutes from the Marietta Square and just off I-75, Out of Box Theatre's new home is inside the Artisan Resource Center on Cobb Parkway.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available.","info@outofboxtheatre.com","585 Cobb Pkwy.
Suite C-1
MARIETTA, GA 30060","https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/Out_of_Box_Theatre_-_Aristan_Resource_Center.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Auburn Avenue Research Library","https://atlantaplanit.wabe.org/venues/auburn-avenue-research-library/","Auburn Avenue Research Library","404-730-4001","101 Auburn Ave. NE
ATLANTA, GA 30303","The Auburn Avenue Research Library is closed for renovations and expected to re-open in the fall of 2015.





Auburn Avenue Research Library on African-American Culture and History is a special library of the Atlanta-Fulton County Public Library System. It is the first library of its kind in the Southeast offering specialized reference and archival collections for the study and research of African cultures. The library is a public facility with non-circulating collections, services and programs free and open to the general public.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Limited parking is available behind the library. MARTA: The library is conveniently located three and a half blocks southeast of the Peachtree Center Station and six blocks east of the Five Points Station (where all rail lines intersect).","null","101 Auburn Ave. NE
ATLANTA, GA 30303","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/AuburnAvenueResearchLibrary.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Spruill Education Center","https://atlantaplanit.wabe.org/venues/spruill-education-center/","Spruill Education Center","770-394-3447","5339 Chamblee Dunwoody Rd.
ATLANTA, GA 30338","Established in 1975, The Spruill Center for the Arts is a private, non-profit organization, whose mission is to foster understanding and appreciation of the visual and performing arts by offering an extensive and diverse program of classes, a professional artist exhibition series and outreach programs for seniors, youth and audiences with special needs.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","A large parking facility is located near the gallery building.","sbennett@spruillarts.org","5339 Chamblee Dunwoody Rd.
ATLANTA, GA 30338","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Spruil_Center_for_the_Arts_-_google.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Agnes Scott College, Presser Hall","https://atlantaplanit.wabe.org/venues/agnes-scott-college-presser-hall/","Agnes Scott College, Presser Hall","404-471-6000","141 E. College Ave.
DECATUR, GA 30030","Envisioned to house both a modern music center and chapel, Agnes Scott College's Presser Hall opened in 1940. The building was named in honor of Theodore Presser, who established the Presser Foundation, which donated funds to construct the building on the campus of Agnes Scott College.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Visitor parking at Agnes Scott is on the Main Loop in front of the campus on E. College Avenue and in the West Parking facility on South McDonough Street. MARTA: Take the East/West line to Decatur Station. Exit the terminal on the Church Street side and head south (toward the corner of Trinity and Church). Use the pedestrian tunnel to pass beneath the railroad tracks. You will merge at the College Avenue entrance to campus.","null","141 E. College Ave.
DECATUR, GA 30030","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Agnes_Scott_-_Presser_Hall.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","Norcross Cultural Arts and Community Center","https://atlantaplanit.wabe.org/venues/norcross-cultural-arts-and-community-center/","Norcross Cultural Arts and Community Center","678-421-2025","10 College St.
NORCROSS, GA 30071","The Norcross Cultural Arts and Community Center is part of the Norcross Cultural Arts complex. It offers numerous programs for citizens of all ages, including theatrical performances, youth summer camps and author events, as well as classes on various subjects throughout the year.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","lsmith@norcrossga.net","10 College St.
NORCROSS, GA 30071","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/Norcross_-_Cultural_Arts_Center.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","North Dekalb Cultural Center","https://atlantaplanit.wabe.org/venues/north-dekalb-cultural-center/","North Dekalb Cultural Center","null","5339 Chamblee Dunwoody Rd
DUNWOODY, GA 30338","null","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","null","null","5339 Chamblee Dunwoody Rd
DUNWOODY, GA 30338","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","Northside Drive Baptist Church","https://atlantaplanit.wabe.org/venues/northside-drive-baptist-church/","Northside Drive Baptist Church","404-237-8621","3100 Northside Dr.
ATLANTA, GA 30305","The church's orginal sanctuary was built in 1954 and now serves as the chapel.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","secretary@nsdbc.org","3100 Northside Dr.
ATLANTA, GA 30305","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/NorthsideDrBaptistChurch.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Atlanta Photography Group Gallery","https://atlantaplanit.wabe.org/venues/atlanta-photography-group-gallery/","Atlanta Photography Group Gallery","404-605-0605","Tula Art Center
75 Bennett St. NW, Space B-1
ATLANTA, GA 30309","The Atlanta Photography Group Gallery features photographic exhibitions throughout the year in its gallery space at the Tula Art Center in Atlanta. Most shows are juried by well-known photography curators, gallery owners and experts.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Bennett Street is north of Piedmont Hospital and south of Peachtree Hills Avenue. Enter through Mick's parking lot from Peachtree Road at the light. Tula Art Center is on the right, near the end of Bennett Street. The APG Gallery is on the lower floor, in the Atrium, just below Lowe Gallery.","apg_photo@hotmail.com","Tula Art Center
75 Bennett St. NW, Space B-1
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/APG_-_Gallery.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","Historic Virginia-Highland","https://atlantaplanit.wabe.org/venues/historic-virginia-highland/","Historic Virginia-Highland","null","1000 Virginia Ave. NE
ATLANTA, GA 30306","Historic Virgnia-Highland is an intown neighborhood in Atlanta that dates back to 1812. The area is named for its two main streets, Virginia and North Highland Avenues.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Street parking is available.","null","1000 Virginia Ave. NE
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/Virginia-Highland.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","HATHAWAY | Contemporary Gallery","https://atlantaplanit.wabe.org/venues/hathaway-contemporary-gallery/","HATHAWAY | Contemporary Gallery","470-428-2061","887 Howell Mill Road NW
Suite 4
ATLANTA, GA 30318","HATHAWAY is a contemporary art gallery located on the Westside of Atlanta. It gives space to the cutting-edge artists of today to express their creative voice and explore societal issues.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Free parking is available.","Info@hathawaygallery.com","887 Howell Mill Road NW
Suite 4
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Hathaway_-_Generic.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Roswell City Hall","https://atlantaplanit.wabe.org/venues/roswell-city-hall/","Roswell City Hall","770-641-3727","38 Hill St
ROSWELL, GA 30075","The City of Roswell, Ga., is a premier riverside community connecting strong neighborhoods and the entrepreneurial spirit just north of Atlanta.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","null","38 Hill St
ROSWELL, GA 30075","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Roswell_City_Hall.jpg"
"H","https://atlantaplanit.wabe.org/venues/H/","Herndon Home","https://atlantaplanit.wabe.org/venues/herndon-home/","Herndon Home","404-581-9813","587 University Place NW
ATLANTA, GA 30314","Herndon Home is a National Historic Landmark that eloquently tells a story of struggle and achievement. It was the residence of Alonzo Herndon, who overcame slavery, sharecropping and Jim Crow to become one of the foremost African American businessmen of his era. Owned and operated by the Alonzo F. and Norris B. Herndon Foundation, the 1910 mansion seeks to tell this compelling story to a large and diverse audience through tours, exhibits, special events, publications, school programs and other projects.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking is available on University Place on the right side of the street in designated areas and on Walnut Street on both sides of the street in designated areas. MARTA: Take the West Line to the Vine City Station. Walk on Maple Street to Martin Luther King Jr. Drive. Turn right at Walnut Street and walk one block to the home.","general@herndonhomemuseumvolunteers.com","587 University Place NW
ATLANTA, GA 30314","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Herndon-Home.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Mason Fine Art","https://atlantaplanit.wabe.org/venues/mason-fine-art/","Mason Fine Art","404-879-1500","415 Plasters Ave.
ATLANTA, GA 30324","Mason Fine Art has become an art and special event destination, hosting several exhibitions a year and showcasing a wide range of work from the Southeast and around the world.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in the gallery lot as well as on the street.","kelly@masonmurer.com","415 Plasters Ave.
ATLANTA, GA 30324","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/MasonMurer_-_inside.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Riverside EpiCenter","https://atlantaplanit.wabe.org/venues/riverside-epicenter/","Riverside EpiCenter","678-903-5480","135 Riverside Parkway
AUSTELL, GA 30168","Located just 20 minutes from downtown Atlanta, the Riverside EpiCenter offers nearly 113,000 square feet of flexible space from events, entertainment and fitness to accommodate every social and business need.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking is available in parking lots at the venue.","info@riversideepicenter.com","135 Riverside Parkway
AUSTELL, GA 30168","https://atlantaplanit.wabe.org/wp-content/uploads/2016/08/Riverside_Epicenter.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Spelman College Museum of Fine Art","https://atlantaplanit.wabe.org/venues/spelman-college-museum-of-fine-art/","Spelman College Museum of Fine Art","404-270-5607","350 Spelman Lane SW
ATLANTA, GA 30314","The Spelman College Museum of Fine Art is located in the Camille Olivia Hanks Cosby Academic Center. The museum is an academic resource for Spelman College students, faculty, staff, administration and alumnae. The exhibition area of 4,500 square feet features high ceilings, warm cherry wood floors and a flexible space with 11 movable walls. Museum visitors can take advantage of a gift shop and video-viewing area. The Camille Olivia Hanks Cosby Center also houses the Women's Research and Resource Center, archives, a media center, classrooms and academic departmental offices. As the premier institution in Atlanta emphasizing works by and about women of the African Diaspora, the museum is a unique cultural institution and a vital resource for visitors from the Southeast and beyond.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","There are public safety booths located at both gates of the College. Upon your arrival, the public safety officer(s) will inform you of where to park and give other directions and instructions as needed. Parking fee: $3.","museum@spelman.edu","350 Spelman Lane SW
ATLANTA, GA 30314","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Spelman-Museum-of-Fine-Art.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","The Children’s Museum of Atlanta","https://atlantaplanit.wabe.org/venues/childrens-museum-of-atlanta-the/","The Children’s Museum of Atlanta","404-659-5437","275 Centennial Olympic Park Dr. NW
ATLANTA, GA 30313","The Children's Museum of Atlanta strives to spark imagination and inspire discovery and learning for all children through the power of play. Whether you are a kid, parent or teacher, there is a section dedicated to you! The museum is divided into several different learning zones in the permanent exhibit hall and also has a “morph gallery” to show changing exhibits throughout the year.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking garages are available throughout the area at the World of Coca-Cola and the Georgia Aquarium. Surface lots are located near the Museum. Please note that parking rates vary by lot and by downtown events and activities. MARTA: Exit the Peachtree Center Station and take the escalator up towards Harris Street (you will exit onto Peachtree Street). Cross Harris Street and go one block north to Baker Street and turn left. Walk three blocks towards Centennial Olympic Park. The Museum is located on the corner of Baker Street and Centennial Olympic Park Drive.","askme@childrensmuseumatlanta.org","275 Centennial Olympic Park Dr. NW
ATLANTA, GA 30313","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/ExteriorNew2016-1.jpg"
"R","https://atlantaplanit.wabe.org/venues/R/","Reinike Gallery","https://atlantaplanit.wabe.org/venues/reinike-gallery/","Reinike Gallery","404-364-0490","789 Miami Circle
ATLANTA, GA 30324","Reinike Gallery shows works of a select group of contemporary artists from across the country, presenting talent who otherwise would not be seen in Atlanta.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free lot parking available","ReinikeGallery@comcast.net","789 Miami Circle
ATLANTA, GA 30324","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","Lakewood Amphitheatre","https://atlantaplanit.wabe.org/venues/aarons-amphitheatre-at-lakewood/","Lakewood Amphitheatre","404-443-5000","2002 Lakewood Way
ATLANTA, GA 30315","Lakewood Amphitheatre has been the premier concert venue in the Southeast since its debut season in 1989. The amphitheatre was built specifically for popular music, and it is designed to offer a state-of-the-art musical experience for both patrons and performers.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Standard and VIP parking is available in lots at the amphitheatre. If standard parking cost is included in the ticket price, it is stated on the ticket. Otherwise, there will be a separate parking fee.","null","2002 Lakewood Way
ATLANTA, GA 30315","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/AaronsAmpLakewood.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Callanwolde Fine Arts Center","https://atlantaplanit.wabe.org/venues/callanwolde-fine-arts-center/","Callanwolde Fine Arts Center","404-872-5338","980 Briarcliff Rd. NE
ATLANTA, GA 30306","Callanwolde Fine Arts Center has been a hub of cultural and social activity in Atlanta since 1971. It is housed in the magnificent Gothic-Tudor mansion situated on a beautifully landscaped 12.5-acre estate that was built in 1920 by Charles Howard Candler, oldest son of Coca-Cola founder Asa Candler. Thriving today as a busy non-profit community arts center, Callanwolde offers classes and workshops for all ages in the visual, literary and performing arts. Special projects and events are presented throughout the year, as well as gallery exhibits, outreach programs, fundraising galas and much more.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Free parking is available.","info@callanwolde.org","980 Briarcliff Rd. NE
ATLANTA, GA 30306","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Callanwolde_-_Exterior_2013_-_Photo_by_Drew_Newman-1.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","Margaret Mitchell House and Museum","https://atlantaplanit.wabe.org/venues/margaret-mitchell-house-and-museum/","Margaret Mitchell House and Museum","404-249-7015","990 Peachtree St.
ATLANTA, GA 30309","Listed on the National Register of Historic Places and operated by the Atlanta History Center, the Margaret Mitchell House is a turn-of-the century, three-story, Tudor Revival building where Margaret Mitchell lived and wrote her Pulitzer Prize-winning book, Gone With the Wind.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available adjacent to the property. MARTA: Margaret Mitchell House and Museum is one block east of the Midtown station. Leave the station by the Peachtree Place exit. Turn left and walk up the sidewalk to Crescent Street where you will make a left toward the house.","museumshop@gwtw.org","990 Peachtree St.
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/MMH_-_New_Exterior.jpg"
"L","https://atlantaplanit.wabe.org/venues/L/","The Loft","https://atlantaplanit.wabe.org/venues/loft-the/","The Loft","404-885-1365","1374 W. Peachtree St.
ATLANTA, GA 30309","February 2005 marked the opening of The Loft, a live music venue in Midtown. The Loft is located on the second floor of the Center Stage Atlanta music complex and can accommodate 650 people. It is equipped with top-of-the-line sound, four full-service bars and a view of the Midtown skyline. The Loft is a stylish destination for live music performed by national and regional acts every night of the week.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Paid parking lots are available in the neighborhood surrounding the Center Stage Atlanta music complex. MARTA: Take MARTA to the Arts Center Station. Exit the station onto West Peachtree Street, and go one block to the right. The venue is located across the street.","tania@rivalentertainment.com","1374 W. Peachtree St.
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Loft_the-5389.jpg"
"M","https://atlantaplanit.wabe.org/venues/M/","MJCCA, Morris and Rae Frank Theatre","https://atlantaplanit.wabe.org/venues/mjcca-morris-and-rae-frank-theatre/","MJCCA, Morris and Rae Frank Theatre","678-812-4002","5342 Tilly Mill Rd.
DUNWOODY, GA 30338","The Morris and Rae Frank Theatre at the MJCCA is the home of Company J at the MJCCA, a theatre company that offers a variety of theatrical offerings for audiences of all ages, as well as provides a nurturing environment for theater artists to train and develop their creative potential.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Free parking is available.","lora.sommer@atlantajcc.org","5342 Tilly Mill Rd.
DUNWOODY, GA 30338","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Morris-and-Rae-Frank-Theatre.jpg"
"N","https://atlantaplanit.wabe.org/venues/N/","The NAMES Project Foundation National Headquarters","https://atlantaplanit.wabe.org/venues/names-project-foundation-national-headquarters-the-2/","The NAMES Project Foundation National Headquarters","404-688-5500 ext. 224","204 14th St. NW
ATLANTA, GA 30318","Founded in 1987, The NAMES Project Foundation preserves, cares for, and uses the AIDS Memorial Quilt to foster healing, heighten awareness and inspire action in the struggle against HIV and AIDS.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in a lot at the center. MARTA: Take MARTA to the Arts Center Station. Out of the station, walk south on West Peachtree Street, and turn right at 14th Street. You will cross over Interstate 75/85 to reach the destination.","info@aidsquilt.org","204 14th St. NW
ATLANTA, GA 30318","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/NamesProject_-_Logo2.jpg"
"U","https://atlantaplanit.wabe.org/venues/U/","Unity North Atlanta Church","https://atlantaplanit.wabe.org/venues/unity-north-atlanta-church/","Unity North Atlanta Church","678-819-9100","4255 Sandy Plains Rd.
MARIETTA, GA 30066","null","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","From 75 North: 75 North to exit 267A, Canton Road, going North. At the first light, turn right onto Sandy Plains Road. Follow Sandy Plains for approximately 6.7 miles. We are located on the left side of the road at 4255 Sandy Plains Road. Make a U turn at the next intersection. From 400 North: 400 North to exit 7-B, Holcomb Bridge Rd. Go west on Holcomb Bridge for approximately 6.7 miles. Turn left onto Sandy Plains Rd. (Sandy Plains Village Kroger Shopping Center is on the left corner). Follow Sandy Plains road approximately 1.6 miles. We are located on the right side of the road at 4255 Sandy Plains Road.","null","4255 Sandy Plains Rd.
MARIETTA, GA 30066","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Arnika Dawkins Gallery","https://atlantaplanit.wabe.org/venues/arnika-dawkins-gallery/","Arnika Dawkins Gallery","404-661-8946","4600 Cascade Rd.
ATLANTA, GA 30331","Arnika Dawkins Gallery is devoted to presenting fine art from both emerging and established photographers and specializes in images by African Americans and depicting African Americans. The owner is passionate about connecting collectors to artwork that is significant, inspiring and provocative. The gallery's objective is to provide an educational platform that supports a burgeoning community of talented artists.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available in a lot at the gallery.","agd@adawkinsgallery.com","4600 Cascade Rd.
ATLANTA, GA 30331","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/ArnikaDawkins_-_Logo.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Clark Atlanta University Art Galleries","https://atlantaplanit.wabe.org/venues/clark-atlanta-university-art-galleries/","Clark Atlanta University Art Galleries","404-880-6102","223 James P. Brawley Dr. SW
Trevor Arnett Hall, 2nd Floor
ATLANTA, GA 30314","The development and existence of the Clark Atlanta University Collections of African American Art chronicle the role of black artists in the history of American art. Acquired primarily between the years of 1942-1970, the Collections document the American experience from the perspective of black Americans, an epic tale that is at the core of America's identity. As such the University is dedicated to the collection, preservation, research and exhibition of African American art reflecting a breadth of experiences of people of African descent living in the United States.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Trevor Arnett Hall is on the corner of Greensferry Street and James P. Brawley Drive. Park at the right end of the series of large parking lots.","cauart_galleries@cau.edu","223 James P. Brawley Dr. SW
Trevor Arnett Hall, 2nd Floor
ATLANTA, GA 30314","https://atlantaplanit.wabe.org/wp-content/uploads/2017/03/ClarkAtlantaGallery.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","Brook Run Park","https://atlantaplanit.wabe.org/venues/brook-run-park/","Brook Run Park","null","4770 Georgia Way S
DUNWOODY, GA 30338","Brook Run Park is one of Dunwoody’s premier parks located off Peeler Road and North Peachtree Road. The park is comprised of more than 100 acres featuring a playground, dog park, skate park, community garden, trails and multi-use fields.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Parking is available.","null","4770 Georgia Way S
DUNWOODY, GA 30338","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/BrrokRunPark.jpg"
"E","https://atlantaplanit.wabe.org/venues/E/","Emory University, Robert W. Woodruff Library","https://atlantaplanit.wabe.org/venues/emory-university-robert-w-woodruff-library/","Emory University, Robert W. Woodruff Library","404-727-6861","540 Asbury Circle
ATLANTA, GA 30322","The Robert W. Woodruff Library is the main library on the campus of Emory University.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available on weekends and after 5 p.m. on weekdays in the Lowergate South, Fishburne and Peavine decks. Paid visitor parking is available 24 hours a day.","genlibweb@listserv.cc.emory.edu","540 Asbury Circle
ATLANTA, GA 30322","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/EMory_-_Woodruff_Library.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Aisle 5","https://atlantaplanit.wabe.org/venues/aisle-5/","Aisle 5","null","1123 Euclid Avenue NE
ATLANTA, GA 30307","null","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Aisle 5 offers free parking in the spaces adjacent to the building. Paid lot parking is also available","info@aisle5atl.com","1123 Euclid Avenue NE
ATLANTA, GA 30307","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Aisle_5.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Apple Valley Road","https://atlantaplanit.wabe.org/venues/apple-valley-road/","Apple Valley Road","null","Apple Valley Road
BROOKHAVEN, GA 30319","Apple Valley Road is located behind the MARTA station in Brookhaven.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","There are various parking options along Apple Valley Road.","null","Apple Valley Road
BROOKHAVEN, GA 30319","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Brookhaven_-_Apple_Valley_Road.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Atlanta Botanical Garden","https://atlantaplanit.wabe.org/venues/atlanta-botanical-garden/","Atlanta Botanical Garden","404-876-5859","1345 Piedmont Ave. NE
ATLANTA, GA 30309","Atlanta Botanical Garden was incorporated in 1976 to develop and maintain plant collections for the purpose of display, education, research, conservation and enjoyment. The Garden features 15 acres of outdoor display gardens, the Upper Woodland showcasing five acres of shade-loving ornamentals from around the world, and the 10-acre Storza Woods with natural undergrowth and walking trails.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Atlanta Botanical Garden is adjacent to Piedmont Park on Piedmont Avenue. Parking is available at the Garden in the SAGE Parking Facility. MARTA: Take the Red/Gold Line to the Arts Center Station. Out of the station, head north on Lombardy Way toward 16th Street and make a right. Turn right at Peachtree Circle, and turn left at Westminster Drive. Turn right at The Prado and follow it to Atlanta Botanical Garden. It is about a 20-minute walk.","info@atlantabotanicalgarden.org","1345 Piedmont Ave. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Atl_Bot_-_Garden_grounds.jpg"
"G","https://atlantaplanit.wabe.org/venues/G/","Georgia Capitol Museum","https://atlantaplanit.wabe.org/venues/georgia-capitol-museum-2/","Georgia Capitol Museum","404-463-2846","206 State Capitol
ATLANTA, GA 30334","Georgia Capitol Museum is a public educational institution housed in the State Capitol building. The Museum seeks to preserve and interpret the history of the Georgia State Capitol building itself, as well as the events that have taken place within its walls. To carry out this purpose, the Museum collects, maintains and exhibits significant artifacts including historic flags and works of art within the State Capitol. Public tours are conducted daily.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleYesVisually Impaired AccessibleYesIndoorYesOutdoorNo","Paid parking is available in a lot located across the street from the Capitol at 130 Capitol Ave. (open to the public May through December) and at 65 Martin Luther King Jr. Dr. (open to the public year-round). Metered street parking is also available on city streets. MARTA: Take the Blue or Green Line to the Georgia State station. Head southeast out of the station, and turn right on Jesse Hill Jr. Dr. Turn right on Martin Luther King Jr. Dr. and left on State Capitol to arrive at the museum.","jhebbard@uga.edu","206 State Capitol
ATLANTA, GA 30334","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/GeorgiaCapitol.jpg"
